person1_word_idx,person2_word_idx,sentence,person1_right_tokens,person2_right_tokens,text_between,person1_left_tokens,person2_left_tokens,person1_right_first_tokens,person2_right_first_tokens,person1_right_second_tokens,person2_right_second_tokens,person1_right_third_tokens,person2_right_third_tokens,person1_left_first_tokens,person2_left_first_tokens,person1_left_second_tokens,person2_left_second_tokens,person1_left_third_tokens,person2_left_third_tokens,tokens
"(24, 24)","(22, 22)","[ 59 ] found that replacing 2 % Co with Fe in Co-8.8Al-9.8W reduced the γ′ solvus temperature to 1003°C compared to 1016°C in Co-9Al-10W , while adding 2 % Si did not apparently change the solvus temperature ( 1015°C ) . ","['2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature']","['2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature']",['while'],"['γ′', 'solvus', 'temperature', 'to', '1003°C', 'compared', 'to', '1016°C', 'in', 'Co-9Al-10W']","['reduced', 'the', 'γ′', 'solvus', 'temperature', 'to', '1003°C', 'compared', 'to', '1016°C']",['2'],['while'],['%'],['adding'],['Si'],['2'],['while'],['in'],['Co-9Al-10W'],['1016°C'],['in'],['to'],"['59', 'found', 'that', 'replacing', '2', '%', 'Co', 'with', 'Fe', 'in', 'Co-8.8Al-9.8W', 'reduced', 'the', 'γ′', 'solvus', 'temperature', 'to', '1003°C', 'compared', 'to', '1016°C', 'in', 'Co-9Al-10W', 'while', 'adding', '2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature', '(', '1015°C', ')', '.']"
"(24, 24)","(38, 38)","[ 59 ] found that replacing 2 % Co with Fe in Co-8.8Al-9.8W reduced the γ′ solvus temperature to 1003°C compared to 1016°C in Co-9Al-10W , while adding 2 % Si did not apparently change the solvus temperature ( 1015°C ) . ","['2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature']","['2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature']","['2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature', '(', '1015°C', ')']","['γ′', 'solvus', 'temperature', 'to', '1003°C', 'compared', 'to', '1016°C', 'in', 'Co-9Al-10W']","['Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature', '(', '1015°C']",['2'],[],['%'],[],['Si'],[],['while'],[')'],['Co-9Al-10W'],['1015°C'],['in'],['('],"['59', 'found', 'that', 'replacing', '2', '%', 'Co', 'with', 'Fe', 'in', 'Co-8.8Al-9.8W', 'reduced', 'the', 'γ′', 'solvus', 'temperature', 'to', '1003°C', 'compared', 'to', '1016°C', 'in', 'Co-9Al-10W', 'while', 'adding', '2', '%', 'Si', 'did', 'not', 'apparently', 'change', 'the', 'solvus', 'temperature', '(', '1015°C', ')', '.']"
"(20, 20)","(30, 30)","[ 22 ] reported that adding 0.5 % and 2 % Si ( replacing Co ) to the ternary alloy Co-9Al-10W increased the γ′ solvus by 4°C and 13°C from 985°C in the ternary alloy , respectively , and increased the γ′ volume fraction from 58 % to 65 % and 72 % , respectively , after annealing for 200 h at 900°C . ","['γ′', 'solvus', 'by', '4°C', 'and', '13°C', 'from', '985°C', 'in', 'the']","['γ′', 'solvus', 'by', '4°C', 'and', '13°C', 'from', '985°C', 'in', 'the']","['γ′', 'solvus', 'by', '4°C', 'and', '13°C', 'from', '985°C', 'in']","['Si', '(', 'replacing', 'Co', ')', 'to', 'the', 'ternary', 'alloy', 'Co-9Al-10W']","['increased', 'the', 'γ′', 'solvus', 'by', '4°C', 'and', '13°C', 'from', '985°C']",['γ′'],['ternary'],['solvus'],['alloy'],['by'],['respectively'],['increased'],['in'],['Co-9Al-10W'],['985°C'],['alloy'],['from'],"['22', 'reported', 'that', 'adding', '0.5', '%', 'and', '2', '%', 'Si', '(', 'replacing', 'Co', ')', 'to', 'the', 'ternary', 'alloy', 'Co-9Al-10W', 'increased', 'the', 'γ′', 'solvus', 'by', '4°C', 'and', '13°C', 'from', '985°C', 'in', 'the', 'ternary', 'alloy', 'respectively', 'and', 'increased', 'the', 'γ′', 'volume', 'fraction', 'from', '58', '%', 'to', '65', '%', 'and', '72', '%', 'respectively', 'after', 'annealing', 'for', '200', 'h', 'at', '900°C', '.']"
"(18, 18)","(13, 13)","Instead each alloy was annealed at a temperature 89°C below their solvus temperature , 765°C and 794°C for the base and 1 % Si alloy , respectively . ","['and', '1', '%', 'Si', 'alloy', 'respectively', '.']","['and', '1', '%', 'Si', 'alloy', 'respectively', '.']","['and', '794°C', 'for', 'the']","['temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for']","['alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus']",['and'],['and'],['1'],['794°C'],['%'],['for'],['the'],['temperature'],['for'],['solvus'],['794°C'],['their'],"['Instead', 'each', 'alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base', 'and', '1', '%', 'Si', 'alloy', 'respectively', '.']"
"(18, 18)","(15, 15)","Instead each alloy was annealed at a temperature 89°C below their solvus temperature , 765°C and 794°C for the base and 1 % Si alloy , respectively . ","['and', '1', '%', 'Si', 'alloy', 'respectively', '.']","['and', '1', '%', 'Si', 'alloy', 'respectively', '.']","['for', 'the']","['temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for']","['annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C']",['and'],['for'],['1'],['the'],['%'],['base'],['the'],['and'],['for'],['765°C'],['794°C'],['temperature'],"['Instead', 'each', 'alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base', 'and', '1', '%', 'Si', 'alloy', 'respectively', '.']"
"(20, 22)","(13, 13)","Instead each alloy was annealed at a temperature 89°C below their solvus temperature , 765°C and 794°C for the base and 1 % Si alloy , respectively . ","['alloy', 'respectively', '.']","['alloy', 'respectively', '.']","['and', '794°C', 'for', 'the', 'base', 'and']","['below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base']","['alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus']",['alloy'],['and'],['respectively'],['794°C'],['.'],['for'],['and'],['temperature'],['base'],['solvus'],['and'],['their'],"['Instead', 'each', 'alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base', 'and', '1', '%', 'Si', 'alloy', 'respectively', '.']"
"(20, 22)","(15, 15)","Instead each alloy was annealed at a temperature 89°C below their solvus temperature , 765°C and 794°C for the base and 1 % Si alloy , respectively . ","['alloy', 'respectively', '.']","['alloy', 'respectively', '.']","['for', 'the', 'base', 'and']","['below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base']","['annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C']",['alloy'],['for'],['respectively'],['the'],['.'],['base'],['and'],['and'],['base'],['765°C'],['and'],['temperature'],"['Instead', 'each', 'alloy', 'was', 'annealed', 'at', 'a', 'temperature', '89°C', 'below', 'their', 'solvus', 'temperature', '765°C', 'and', '794°C', 'for', 'the', 'base', 'and', '1', '%', 'Si', 'alloy', 'respectively', '.']"
"(3, 3)","(12, 12)","Those of the base alloy ( no Fe or Si ) are 974±3°C , 1417°C , and 1439°C for the solvus , solidus , and liquidus , respectively . ","['alloy', '(', 'no', 'Fe', 'or', 'Si', ')', 'are', '974±3°C', '1417°C']","['alloy', '(', 'no', 'Fe', 'or', 'Si', ')', 'are', '974±3°C', '1417°C']","['alloy', '(', 'no', 'Fe', 'or', 'Si', ')', 'are']","['Those', 'of']","['of', 'the', 'base', 'alloy', '(', 'no', 'Fe', 'or', 'Si', ')']",['alloy'],['1417°C'],['('],['and'],['no'],['1439°C'],['the'],['are'],['of'],[')'],['Those'],['Si'],"['Those', 'of', 'the', 'base', 'alloy', '(', 'no', 'Fe', 'or', 'Si', ')', 'are', '974±3°C', '1417°C', 'and', '1439°C', 'for', 'the', 'solvus', 'solidus', 'and', 'liquidus', 'respectively', '.']"
"(2, 2)","(34, 35)","When the Fe10 and Fe15 alloys are annealed at 900°C for 1001 h , shown in fig 5 e and f , respectively , the γ ’ is not observed , consistent with the measured solvus temperatures of ＜ 900°C . ","['and', 'Fe15', 'alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h']","['and', 'Fe15', 'alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h']","['and', 'Fe15', 'alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in', 'fig', '5', 'e', 'and', 'f', 'respectively', 'the', 'γ', '’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures', 'of']",['When'],"['’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures']",['and'],['.'],['Fe15'],['.'],['alloys'],['.'],['the'],['of'],['When'],['temperatures'],[],['temperatures'],"['When', 'the', 'Fe10', 'and', 'Fe15', 'alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in', 'fig', '5', 'e', 'and', 'f', 'respectively', 'the', 'γ', '’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures', 'of', '＜', '900°C', '.']"
"(4, 4)","(34, 35)","When the Fe10 and Fe15 alloys are annealed at 900°C for 1001 h , shown in fig 5 e and f , respectively , the γ ’ is not observed , consistent with the measured solvus temperatures of ＜ 900°C . ","['alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in']","['alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in']","['alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in', 'fig', '5', 'e', 'and', 'f', 'respectively', 'the', 'γ', '’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures', 'of']","['When', 'the', 'Fe10']","['’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures']",['alloys'],['.'],['are'],['.'],['annealed'],['.'],['and'],['of'],['Fe10'],['temperatures'],['the'],['temperatures'],"['When', 'the', 'Fe10', 'and', 'Fe15', 'alloys', 'are', 'annealed', 'at', '900°C', 'for', '1001', 'h', 'shown', 'in', 'fig', '5', 'e', 'and', 'f', 'respectively', 'the', 'γ', '’', 'is', 'not', 'observed', 'consistent', 'with', 'the', 'measured', 'solvus', 'temperatures', 'of', '＜', '900°C', '.']"
"(2, 2)","(42, 42)","Therefore , a base alloy containing more Ni or less W may allow for up to 1 % Si addition without degrading microstructural stability for temperatures below ≈90 % of the solvus temperature ( in absolute temperature , 1073K ( 800°C ) compared to 1248K ( 975°C ) ) . ","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for']","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for']","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for', 'up', 'to', '1', '%', 'Si', 'addition', 'without', 'degrading', 'microstructural', 'stability', 'for', 'temperatures', 'below', '≈90', '%', 'of', 'the', 'solvus', 'temperature', '(', 'in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared', 'to']",['Therefore'],"['temperature', '(', 'in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared']",['alloy'],['('],['containing'],['975°C'],['more'],[')'],['a'],['to'],['Therefore'],['compared'],[],[')'],"['Therefore', 'a', 'base', 'alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for', 'up', 'to', '1', '%', 'Si', 'addition', 'without', 'degrading', 'microstructural', 'stability', 'for', 'temperatures', 'below', '≈90', '%', 'of', 'the', 'solvus', 'temperature', '(', 'in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared', 'to', '1248K', '(', '975°C', ')', ')', '.']"
"(2, 2)","(44, 44)","Therefore , a base alloy containing more Ni or less W may allow for up to 1 % Si addition without degrading microstructural stability for temperatures below ≈90 % of the solvus temperature ( in absolute temperature , 1073K ( 800°C ) compared to 1248K ( 975°C ) ) . ","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for']","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for']","['alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for', 'up', 'to', '1', '%', 'Si', 'addition', 'without', 'degrading', 'microstructural', 'stability', 'for', 'temperatures', 'below', '≈90', '%', 'of', 'the', 'solvus', 'temperature', '(', 'in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared', 'to', '1248K', '(']",['Therefore'],"['in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared', 'to', '1248K']",['alloy'],[')'],['containing'],[')'],['more'],['.'],['a'],['('],['Therefore'],['1248K'],[],['to'],"['Therefore', 'a', 'base', 'alloy', 'containing', 'more', 'Ni', 'or', 'less', 'W', 'may', 'allow', 'for', 'up', 'to', '1', '%', 'Si', 'addition', 'without', 'degrading', 'microstructural', 'stability', 'for', 'temperatures', 'below', '≈90', '%', 'of', 'the', 'solvus', 'temperature', '(', 'in', 'absolute', 'temperature', '1073K', '(', '800°C', ')', 'compared', 'to', '1248K', '(', '975°C', ')', ')', '.']"
"(1, 1)","(28, 28)","The SLM and PM specimens were imposed by super-solvus solution heat treatment at 1180°C for 1 h ( the solvus of γ ’ phase for this alloy is 1150°C calculated using Pandat software with Ni database ) followed by air cooling , and then a two-step aging treatment was applied at 650°C for 24 h and 760°C for 16 h followed by air cooing , respectively . ","['and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment']","['and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment']","['and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C', 'for', '1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy', 'is']",[],"['(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy']",['and'],['calculated'],['PM'],['using'],['specimens'],['Pandat'],['The'],['is'],[],['alloy'],[],['this'],"['The', 'SLM', 'and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C', 'for', '1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy', 'is', '1150°C', 'calculated', 'using', 'Pandat', 'software', 'with', 'Ni', 'database', ')', 'followed', 'by', 'air', 'cooling', 'and', 'then', 'a', 'two-step', 'aging', 'treatment', 'was', 'applied', 'at', '650°C', 'for', '24', 'h', 'and', '760°C', 'for', '16', 'h', 'followed', 'by', 'air', 'cooing', 'respectively', '.']"
"(3, 3)","(28, 28)","The SLM and PM specimens were imposed by super-solvus solution heat treatment at 1180°C for 1 h ( the solvus of γ ’ phase for this alloy is 1150°C calculated using Pandat software with Ni database ) followed by air cooling , and then a two-step aging treatment was applied at 650°C for 24 h and 760°C for 16 h followed by air cooing , respectively . ","['specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C']","['specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C']","['specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C', 'for', '1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy', 'is']","['The', 'SLM']","['(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy']",['specimens'],['calculated'],['were'],['using'],['imposed'],['Pandat'],['and'],['is'],['SLM'],['alloy'],['The'],['this'],"['The', 'SLM', 'and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C', 'for', '1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy', 'is', '1150°C', 'calculated', 'using', 'Pandat', 'software', 'with', 'Ni', 'database', ')', 'followed', 'by', 'air', 'cooling', 'and', 'then', 'a', 'two-step', 'aging', 'treatment', 'was', 'applied', 'at', '650°C', 'for', '24', 'h', 'and', '760°C', 'for', '16', 'h', 'followed', 'by', 'air', 'cooing', 'respectively', '.']"
"(26, 26)","(28, 28)","The SLM and PM specimens were imposed by super-solvus solution heat treatment at 1180°C for 1 h ( the solvus of γ ’ phase for this alloy is 1150°C calculated using Pandat software with Ni database ) followed by air cooling , and then a two-step aging treatment was applied at 650°C for 24 h and 760°C for 16 h followed by air cooing , respectively . ","['is', '1150°C', 'calculated', 'using', 'Pandat', 'software', 'with', 'Ni', 'database', ')']","['is', '1150°C', 'calculated', 'using', 'Pandat', 'software', 'with', 'Ni', 'database', ')']",['is'],"['1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for']","['(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy']",['is'],['calculated'],['1150°C'],['using'],['calculated'],['Pandat'],['this'],['is'],['for'],['alloy'],['phase'],['this'],"['The', 'SLM', 'and', 'PM', 'specimens', 'were', 'imposed', 'by', 'super-solvus', 'solution', 'heat', 'treatment', 'at', '1180°C', 'for', '1', 'h', '(', 'the', 'solvus', 'of', 'γ', '’', 'phase', 'for', 'this', 'alloy', 'is', '1150°C', 'calculated', 'using', 'Pandat', 'software', 'with', 'Ni', 'database', ')', 'followed', 'by', 'air', 'cooling', 'and', 'then', 'a', 'two-step', 'aging', 'treatment', 'was', 'applied', 'at', '650°C', 'for', '24', 'h', 'and', '760°C', 'for', '16', 'h', 'followed', 'by', 'air', 'cooing', 'respectively', '.']"
"(25, 25)","(10, 10)","The solvus temperature of the tertiary γ′ is close to 800°C for an aging time of 8 h , which is lower than that of the Rene88DT alloy resulting from the more and larger tertiary γ′ for powder metallurgy alloy subjected to supersolvus solution treatment . ","['alloy', 'resulting', 'from', 'the', 'more', 'and', 'larger', 'tertiary', 'γ′', 'for']","['alloy', 'resulting', 'from', 'the', 'more', 'and', 'larger', 'tertiary', 'γ′', 'for']","['for', 'an', 'aging', 'time', 'of', '8', 'h', 'which', 'is', 'lower', 'than', 'that', 'of', 'the']","['time', 'of', '8', 'h', 'which', 'is', 'lower', 'than', 'that', 'of']","['The', 'solvus', 'temperature', 'of', 'the', 'tertiary', 'γ′', 'is', 'close']",['alloy'],['for'],['resulting'],['an'],['from'],['aging'],['the'],['to'],['of'],['close'],['that'],['is'],"['The', 'solvus', 'temperature', 'of', 'the', 'tertiary', 'γ′', 'is', 'close', 'to', '800°C', 'for', 'an', 'aging', 'time', 'of', '8', 'h', 'which', 'is', 'lower', 'than', 'that', 'of', 'the', 'Rene88DT', 'alloy', 'resulting', 'from', 'the', 'more', 'and', 'larger', 'tertiary', 'γ′', 'for', 'powder', 'metallurgy', 'alloy', 'subjected', 'to', 'supersolvus', 'solution', 'treatment', '.']"
"(13, 13)","(22, 22)",[ 9 ] showed that simultaneously alloying Ta and Ti with the ternary Co-Al-W superalloy would considerably increase γ′ solvus temperature to 1157°C and the microstructural stability could be maintained throughout 1000 h aging at 900°C . ,"['considerably', 'increase', 'γ′', 'solvus', 'temperature', 'to', '1157°C', 'and', 'the', 'microstructural']","['considerably', 'increase', 'γ′', 'solvus', 'temperature', 'to', '1157°C', 'and', 'the', 'microstructural']","['considerably', 'increase', 'γ′', 'solvus', 'temperature', 'to', '1157°C', 'and']","['that', 'simultaneously', 'alloying', 'Ta', 'and', 'Ti', 'with', 'the', 'ternary', 'Co-Al-W']","['Co-Al-W', 'superalloy', 'would', 'considerably', 'increase', 'γ′', 'solvus', 'temperature', 'to', '1157°C']",['considerably'],['microstructural'],['increase'],['stability'],['γ′'],['could'],['superalloy'],['and'],['Co-Al-W'],['1157°C'],['ternary'],['to'],"['9', 'showed', 'that', 'simultaneously', 'alloying', 'Ta', 'and', 'Ti', 'with', 'the', 'ternary', 'Co-Al-W', 'superalloy', 'would', 'considerably', 'increase', 'γ′', 'solvus', 'temperature', 'to', '1157°C', 'and', 'the', 'microstructural', 'stability', 'could', 'be', 'maintained', 'throughout', '1000', 'h', 'aging', 'at', '900°C', '.']"
"(5, 5)","(12, 12)","The γ′ solvus temperatures for CoNi-1 and CoNi-2 were measured to be 1049°C and 1236°C , respectively . ","['and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively']","['and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively']","['and', 'CoNi-2', 'were', 'measured', 'to', 'be']","['The', 'γ′', 'solvus', 'temperatures']","['γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to']",['and'],['and'],['CoNi-2'],['1236°C'],['were'],['respectively'],['for'],['be'],['temperatures'],['to'],['solvus'],['measured'],"['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']"
"(5, 5)","(14, 14)","The γ′ solvus temperatures for CoNi-1 and CoNi-2 were measured to be 1049°C and 1236°C , respectively . ","['and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively']","['and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively']","['and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and']","['The', 'γ′', 'solvus', 'temperatures']","['temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C']",['and'],['respectively'],['CoNi-2'],['.'],['were'],['.'],['for'],['and'],['temperatures'],['1049°C'],['solvus'],['be'],"['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']"
"(7, 7)","(12, 12)","The γ′ solvus temperatures for CoNi-1 and CoNi-2 were measured to be 1049°C and 1236°C , respectively . ","['were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']","['were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']","['were', 'measured', 'to', 'be']","['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1']","['γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to']",['were'],['and'],['measured'],['1236°C'],['to'],['respectively'],['and'],['be'],['CoNi-1'],['to'],['for'],['measured'],"['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']"
"(7, 7)","(14, 14)","The γ′ solvus temperatures for CoNi-1 and CoNi-2 were measured to be 1049°C and 1236°C , respectively . ","['were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']","['were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']","['were', 'measured', 'to', 'be', '1049°C', 'and']","['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1']","['temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C']",['were'],['respectively'],['measured'],['.'],['to'],['.'],['and'],['and'],['CoNi-1'],['1049°C'],['for'],['be'],"['The', 'γ′', 'solvus', 'temperatures', 'for', 'CoNi-1', 'and', 'CoNi-2', 'were', 'measured', 'to', 'be', '1049°C', 'and', '1236°C', 'respectively', '.']"
"(18, 18)","(20, 20)",Results from the dsc measurements are reported in Table 2 and reveal that the γ′ solvus temperature for RRHT3 is ∼1143°C and 1148°C for RRHT4 . ,"['is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']","['is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']",['is'],"['in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature']","['2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3']",['is'],['and'],['∼1143°C'],['1148°C'],['and'],['for'],['for'],['is'],['temperature'],['RRHT3'],['solvus'],['for'],"['Results', 'from', 'the', 'dsc', 'measurements', 'are', 'reported', 'in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']"
"(18, 18)","(22, 22)",Results from the dsc measurements are reported in Table 2 and reveal that the γ′ solvus temperature for RRHT3 is ∼1143°C and 1148°C for RRHT4 . ,"['is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']","['is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']","['is', '∼1143°C', 'and']","['in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature']","['reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C']",['is'],['for'],['∼1143°C'],['RRHT4'],['and'],['.'],['for'],['and'],['temperature'],['∼1143°C'],['solvus'],['is'],"['Results', 'from', 'the', 'dsc', 'measurements', 'are', 'reported', 'in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']"
"(24, 24)","(20, 20)",Results from the dsc measurements are reported in Table 2 and reveal that the γ′ solvus temperature for RRHT3 is ∼1143°C and 1148°C for RRHT4 . ,['.'],['.'],"['and', '1148°C', 'for']","['the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C']","['2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3']",['.'],['and'],['.'],['1148°C'],['.'],['for'],['for'],['is'],['1148°C'],['RRHT3'],['and'],['for'],"['Results', 'from', 'the', 'dsc', 'measurements', 'are', 'reported', 'in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']"
"(24, 24)","(22, 22)",Results from the dsc measurements are reported in Table 2 and reveal that the γ′ solvus temperature for RRHT3 is ∼1143°C and 1148°C for RRHT4 . ,['.'],['.'],['for'],"['the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C']","['reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C']",['.'],['for'],['.'],['RRHT4'],['.'],['.'],['for'],['and'],['1148°C'],['∼1143°C'],['and'],['is'],"['Results', 'from', 'the', 'dsc', 'measurements', 'are', 'reported', 'in', 'Table', '2', 'and', 'reveal', 'that', 'the', 'γ′', 'solvus', 'temperature', 'for', 'RRHT3', 'is', '∼1143°C', 'and', '1148°C', 'for', 'RRHT4', '.']"
